Component,CumulativeVariance
253,0.9819862022797826
254,0.9823144418177806
255,0.9826385058756844
256,0.9829525136732509
257,0.9832625797255345
258,0.9835704813580431
259,0.9838734438107696
260,0.9841744989270765
261,0.9844677545599645
262,0.9847595506236535
263,0.9850476405514514
264,0.9853345432313616
265,0.9856134852612368
266,0.9858913852117588
267,0.9861647859524532
268,0.9864325519225561
269,0.9866979853668361
270,0.9869604300772583
271,0.9872197373209247
272,0.9874769405834298
273,0.9877303930661765
274,0.9879807348772565
275,0.9882257061404164
276,0.9884687536302189
277,0.9887064289270219
278,0.9889426217167457
279,0.9891769264693047
280,0.9894052258709033
281,0.9896270940332901
282,0.9898442050979003
283,0.9900593055209462
284,0.9902734813917349
285,0.9904834092973515
286,0.9906913118594977
287,0.9908965860329815
288,0.9910983556173422
289,0.9912937265565676
290,0.9914876057313503
291,0.9916791795747807
292,0.9918657145043346
293,0.9920493810798819
294,0.9922297503957018
295,0.9924077509391912
296,0.992581127260455
297,0.9927538529973156
298,0.992924594189202
299,0.9930908511840145
300,0.9932530610920826
301,0.9934130502998096
302,0.9935717060146814
303,0.9937261205026873
304,0.9938773553674094
305,0.9940280562649605
306,0.9941746865430158
307,0.9943171547282412
308,0.9944568576147023
309,0.9945941132659868
310,0.9947297267833707
311,0.9948627347330279
312,0.9949928254097372
313,0.9951209396155903
314,0.9952480338855566
315,0.9953734773997029
316,0.9954983547613604
317,0.9956185408177516
318,0.9957368213073475
319,0.9958510170113198
320,0.995963654783618
321,0.9960738247438948
322,0.9961822919647251
323,0.9962893385960739
324,0.9963948180736784
325,0.9964982646516009
326,0.9965991620709339
327,0.9966986123388892
328,0.996795985578983
329,0.9968917843939381
330,0.9969856821488133
331,0.997076889361453
332,0.9971666356465161
333,0.9972549393138511
334,0.9973414380613163
335,0.9974255722731277
336,0.9975070411049838
337,0.997587560167168
338,0.9976668009201196
339,0.9977425921043707
340,0.9978169787149869
341,0.997890494285714
342,0.9979631028161181
343,0.9980339509780626
344,0.9981033548003351
345,0.9981699420534768
346,0.998234391267084
347,0.9982982607394101
348,0.998360129108121
349,0.9984212345244681
350,0.9984814466613429
351,0.998539531208354
352,0.9985956429135363
353,0.9986497594725389
354,0.9987024790535569
355,0.9987538390207396
356,0.9988036173027252
357,0.9988525177290792
358,0.9989005354160668
359,0.9989478748372538
360,0.9989950855158256
361,0.9990413523672136
362,0.9990855008212821
363,0.9991288115692604
364,0.9991709058408361
365,0.9992108926099893
366,0.999248780119119
367,0.999286072697353
368,0.999321053667252
369,0.9993543854182573
370,0.9993871666500537
371,0.9994192299154449
372,0.9994503216836911
373,0.9994807194527949
374,0.9995100863086278
375,0.9995392532866364
376,0.9995670436871787
377,0.999592809441484
378,0.9996182755156824
379,0.9996423520067693
380,0.9996654562990888
381,0.9996876499996328
382,0.9997087068365911
383,0.9997291445724178
384,0.9997484608088428
385,0.9997665379517146
386,0.9997838562908905
387,0.9998007761933072
388,0.9998166651184692
389,0.9998320971679797
390,0.9998467041715051
391,0.9998605619493599
392,0.9998743388005636
393,0.9998871350471369
394,0.9998986454731256
395,0.9999093176666456
396,0.9999196994749825
397,0.9999296855693395
398,0.9999389308492114
399,0.9999471598835686
400,0.9999550058978867
401,0.9999623691348049
402,0.9999693153451908
403,0.9999757585540416
404,0.9999816460581453
405,0.9999868404048736
406,0.9999910306193157
407,0.9999950176182957
408,0.9999982522652274
409,0.9999999999999993
